Duration,Package,Page,Page_Count,Average_Duration
21.001731157302856,requests,Wikipedia,100,0.21001731157302855
188.35815572738647,selenium,Wikipedia,100,1.8835815572738648
39.097848653793335,requests,VIA,79,0.4949094766302954
374.3638255596161,selenium,VIA,79,4.738782602020457
53.28077554702759,requests,Zeit,100,0.5328077554702759
850.29563164711,selenium,Zeit,100,8.5029563164711
47.495606660842896,requests,Tagesschau,83,0.5722362248294325
473.1060185432434,selenium,Tagesschau,83,5.700072512569197
57.42190170288086,requests,Spiegel,100,0.5742190170288086
1098.2219853401184,selenium,Spiegel,100,10.982219853401183
